Incident ID,Survey Date,Score,Assigned Group
INC000000400005,15/08/2025 08:45,10,Service Desk L1
INC000000400008,19/08/2025 21:57,10,Service Desk VIP
INC000000400012,26/08/2025 16:58,10,Service Desk Remote
INC000000400043,28/08/2025 00:45,8,Service Desk L1
INC000000400055,29/08/2025 02:55,10,Service Desk L1
INC000000400074,07/08/2025 14:09,10,Service Desk L1
INC000000400079,24/08/2025 09:42,10,Service Desk Remote
INC000000400080,04/08/2025 18:48,10,Service Desk L1
INC000000400094,24/08/2025 12:17,10,Service Desk Remote
INC000000400109,29/08/2025 17:39,10,Service Desk L1
INC000000400137,31/08/2025 14:45,10,Service Desk VIP
INC000000400149,20/08/2025 17:52,10,Service Desk L1
INC000000400169,17/08/2025 09:00,10,Service Desk L1
INC000000400171,05/08/2025 17:35,10,Service Desk VIP
INC000000400184,11/08/2025 02:32,10,Service Desk L1
INC000000400189,07/08/2025 10:48,10,Service Desk L1
INC000000400213,28/08/2025 07:18,10,Service Desk L1
INC000000400235,23/08/2025 17:15,10,Service Desk L1
INC000000400255,21/08/2025 23:49,6,Service Desk VIP
INC000000400258,28/08/2025 11:30,10,Service Desk L1
INC000000400260,31/08/2025 08:11,10,Service Desk VIP
INC000000400262,27/08/2025 22:54,10,Service Desk L1
INC000000400271,12/08/2025 13:11,10,Service Desk VIP
INC000000400274,15/08/2025 23:37,10,Service Desk L1
INC000000400277,15/08/2025 16:53,10,Service Desk L1
INC000000400312,04/08/2025 23:29,10,Service Desk Remote
INC000000400318,28/08/2025 08:12,6,Service Desk VIP
INC000000400331,22/08/2025 23:38,10,Service Desk L1
INC000000400347,15/08/2025 04:26,10,Service Desk VIP
INC000000400394,23/08/2025 02:46,10,Service Desk L1
INC000000400410,17/08/2025 11:48,10,Service Desk VIP
INC000000400420,27/08/2025 02:15,10,Service Desk L1
INC000000400425,16/08/2025 18:58,10,Service Desk Remote
INC000000400430,29/08/2025 00:50,10,Service Desk L1
INC000000400441,27/08/2025 00:39,10,Service Desk L1
INC000000400448,29/08/2025 10:55,10,Service Desk L1
INC000000400451,14/08/2025 11:24,10,Service Desk L1
INC000000400459,04/08/2025 22:42,8,Service Desk L1
INC000000400490,07/08/2025 06:30,10,Service Desk VIP
INC000000400494,01/08/2025 20:21,10,Service Desk Remote
INC000000400511,20/08/2025 16:54,10,Service Desk L1
INC000000400529,08/08/2025 22:15,10,Service Desk L1
