Incident ID,Priority,SLA Name,SLA Status,Submit Date,Resolved Date,Assigned Group
INC000000400003,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 10:28,18/08/2025 15:43,Service Desk L1
INC000000400005,Medium,Service Desk - P3 Resolution Time,Met,12/08/2025 15:32,12/08/2025 15:45,Service Desk L1
INC000000400005,Medium,Workplace Services - P3 Resolution Time,Met,12/08/2025 15:32,12/08/2025 15:45,Workplace Services
INC000000400008,Low,Service Desk - P4 Resolution Time,Met,18/08/2025 15:50,18/08/2025 23:57,Service Desk VIP
INC000000400011,Medium,Service Desk - P3 Resolution Time,Met,13/08/2025 15:02,13/08/2025 23:19,Service Desk L1
INC000000400012,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 08:23,25/08/2025 15:58,Service Desk Remote
INC000000400014,Low,Service Desk - P4 Resolution Time,Met,18/08/2025 13:58,18/08/2025 14:18,Service Desk VIP
INC000000400017,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 13:14,18/08/2025 13:38,Service Desk L1
INC000000400020,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 14:49,25/08/2025 14:54,Service Desk L1
INC000000400023,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 09:53,25/08/2025 10:15,Service Desk L1
INC000000400023,Medium,Identity & Access - P3 Resolution Time,Met,25/08/2025 09:53,25/08/2025 10:15,Network Operations
INC000000400026,Medium,Service Desk - P3 Resolution Time,Met,04/08/2025 11:42,04/08/2025 11:50,Service Desk L1
INC000000400029,Medium,Service Desk - P3 Resolution Time,Met,04/08/2025 16:35,04/08/2025 16:55,Service Desk L1
INC000000400031,Medium,Service Desk - P3 Resolution Time,Met,12/08/2025 16:25,12/08/2025 16:40,Service Desk VIP
INC000000400032,Medium,Service Desk - P3 Resolution Time,Met,21/08/2025 15:50,21/08/2025 16:18,Service Desk L1
INC000000400034,Medium,Service Desk - P3 Resolution Time,Met,19/08/2025 12:54,19/08/2025 12:59,Service Desk L1
INC000000400034,Medium,Identity & Access - P3 Resolution Time,Missed,19/08/2025 12:54,19/08/2025 12:59,Identity & Access
INC000000400037,Medium,Service Desk - P3 Resolution Time,Met,11/08/2025 14:29,11/08/2025 14:39,Service Desk L1
INC000000400039,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 17:48,18/08/2025 18:03,Service Desk VIP
INC000000400040,Low,Service Desk - P4 Resolution Time,Met,19/08/2025 16:25,19/08/2025 16:51,Service Desk VIP
INC000000400043,Low,Service Desk - P4 Resolution Time,Met,26/08/2025 09:20,26/08/2025 09:45,Service Desk L1
INC000000400046,Low,Service Desk - P4 Resolution Time,Met,15/08/2025 08:44,15/08/2025 09:01,Service Desk L1
INC000000400049,Low,Service Desk - P4 Resolution Time,Met,20/08/2025 09:19,20/08/2025 09:24,Service Desk Remote
INC000000400052,Medium,Service Desk - P3 Resolution Time,Met,06/08/2025 16:31,06/08/2025 16:51,Service Desk Remote
INC000000400053,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 16:26,18/08/2025 16:37,Service Desk L1
INC000000400055,Low,Service Desk - P4 Resolution Time,Met,28/08/2025 16:42,28/08/2025 16:55,Service Desk L1
INC000000400055,Low,Network Operations - P4 Resolution Time,Met,28/08/2025 16:42,28/08/2025 16:55,Workplace Services
INC000000400058,Medium,Service Desk - P3 Resolution Time,Met,04/08/2025 12:32,04/08/2025 12:59,Service Desk L1
INC000000400058,Medium,Workplace Services - P3 Resolution Time,Met,04/08/2025 12:32,04/08/2025 12:59,Identity & Access
INC000000400061,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 16:02,25/08/2025 16:28,Service Desk L1
INC000000400062,Medium,Service Desk - P3 Resolution Time,Met,13/08/2025 13:41,13/08/2025 13:56,Service Desk L1
INC000000400065,Low,Service Desk - P4 Resolution Time,Met,11/08/2025 10:11,11/08/2025 10:25,Service Desk L1
INC000000400068,Low,Service Desk - P4 Resolution Time,Met,25/08/2025 10:48,25/08/2025 19:39,Service Desk L1
INC000000400070,Medium,Service Desk - P3 Resolution Time,Met,13/08/2025 11:22,13/08/2025 11:36,Service Desk L1
INC000000400072,Low,Service Desk - P4 Resolution Time,Met,13/08/2025 16:36,13/08/2025 16:52,Service Desk L1
INC000000400074,Low,Service Desk - P4 Resolution Time,Met,07/08/2025 12:52,07/08/2025 13:09,Service Desk L1
INC000000400077,Medium,Service Desk - P3 Resolution Time,Met,04/08/2025 17:08,04/08/2025 17:25,Service Desk VIP
INC000000400078,Medium,Service Desk - P3 Resolution Time,Met,21/08/2025 16:35,21/08/2025 17:57,Service Desk Remote
INC000000400079,Low,Service Desk - P4 Resolution Time,Met,21/08/2025 15:28,21/08/2025 15:42,Service Desk Remote
INC000000400080,Medium,Service Desk - P3 Resolution Time,Met,04/08/2025 15:37,04/08/2025 15:48,Service Desk L1
INC000000400081,Medium,Service Desk - P3 Resolution Time,Met,06/08/2025 14:57,06/08/2025 15:23,Service Desk VIP
INC000000400083,Low,Service Desk - P4 Resolution Time,Met,22/08/2025 13:06,22/08/2025 13:29,Service Desk VIP
INC000000400084,Medium,Service Desk - P3 Resolution Time,Met,06/08/2025 13:03,06/08/2025 22:05,Service Desk Remote
INC000000400087,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 11:03,25/08/2025 11:21,Service Desk Remote
INC000000400090,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 10:42,18/08/2025 10:48,Service Desk VIP
INC000000400091,Medium,Service Desk - P3 Resolution Time,Met,05/08/2025 13:28,05/08/2025 13:38,Service Desk VIP
INC000000400094,Medium,Service Desk - P3 Resolution Time,Met,22/08/2025 10:48,22/08/2025 11:17,Service Desk Remote
INC000000400097,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 14:05,18/08/2025 18:11,Service Desk L1
INC000000400099,Low,Service Desk - P4 Resolution Time,Met,12/08/2025 08:21,12/08/2025 22:14,Service Desk L1
INC000000400100,Medium,Service Desk - P3 Resolution Time,Met,27/08/2025 13:25,27/08/2025 13:52,Service Desk L1
INC000000400103,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 16:05,26/08/2025 04:30,Service Desk L1
INC000000400105,Medium,Service Desk - P3 Resolution Time,Met,26/08/2025 15:19,26/08/2025 18:13,Service Desk L1
INC000000400106,Low,Service Desk - P4 Resolution Time,Met,21/08/2025 14:15,21/08/2025 14:27,Service Desk L1
INC000000400106,Low,Network Operations - P4 Resolution Time,Met,21/08/2025 14:15,21/08/2025 14:27,Identity & Access
INC000000400107,Low,Service Desk - P4 Resolution Time,Met,11/08/2025 13:49,11/08/2025 14:12,Service Desk VIP
INC000000400108,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 17:57,25/08/2025 18:26,Service Desk L1
INC000000400109,Medium,Service Desk - P3 Resolution Time,Met,28/08/2025 12:27,28/08/2025 16:39,Service Desk L1
INC000000400112,Medium,Service Desk - P3 Resolution Time,Met,22/08/2025 09:06,22/08/2025 14:08,Service Desk L1
INC000000400115,Medium,Service Desk - P3 Resolution Time,Met,27/08/2025 16:32,27/08/2025 16:53,Service Desk L1
INC000000400116,Medium,Service Desk - P3 Resolution Time,Met,07/08/2025 09:07,07/08/2025 09:16,Service Desk Remote
INC000000400119,Low,Service Desk - P4 Resolution Time,Met,15/08/2025 14:44,15/08/2025 15:03,Service Desk L1
INC000000400122,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 15:01,25/08/2025 20:55,Service Desk L1
INC000000400124,Medium,Service Desk - P3 Resolution Time,Met,25/08/2025 11:03,25/08/2025 11:16,Service Desk VIP
INC000000400125,Medium,Service Desk - P3 Resolution Time,Met,18/08/2025 09:48,19/08/2025 00:32,Service Desk L1
INC000000400128,Medium,Service Desk - P3 Resolution Time,Met,11/08/2025 12:58,12/08/2025 02:49,Service Desk Remote
